Source.Name,sent,point_id,point_text,match_score,point_title,flag
match_453.csv,Jump to Sections of this page Accessibility Help Press alt + / to open this menu privacy basicsMENU     WelcomeTop TopicsYou’re in ChargeManage Your Privacy Stay Safe and Secure Advertising Working Together Privacy PrinciplesData Policy You have control over who sees what you share on Facebook.,25293,Jump toSections of this page Accessibility Help Press alt + / to open this menu privacy basicsMENU     WelcomeTop TopicsYou’re i,100,,
match_453.csv,"That way, you’re free to express yourself the way you want.",,,,,
match_453.csv,We’re here to help you do that.,,,,,
match_453.csv,Let’s get started!Top Topics. Frequently asked questions about privacy. Posts! How do I choose who can see photos and other things I post on Facebook? Learn More!! Profile How can I see what my profile looks like to someone else?Learn More Friend ListCan other people see my list of friends when they visit my profile?Learn More Reactions &amp.,,,,,
match_453.csv,Comments! Who can see my reactions and comments on other people's posts? Learn More! Tagging! Who can see a photo I post on Facebook when someone else is tagged in it? Learn More Unfriending.,,,,,
match_453.csv,BlockingHow can I stop someone who’s bothering me?Learn More You’re In ChargeLearn how you're in control of your Facebook experience.Manage Your PrivacyLearn how to customize your privacy settings so you can confidently share your moments.Explore Stay Safe and Secure Explore ways to increase your account security and learn how we help protect you.,,,,,
match_453.csv,"Explore Advertising! Find out how to control the ads you're shown so they're more useful to you. Explore Working Together! Learn how data and technology help us connect and support you in new ways. Explore Take the Privacy Checkup. Accept cookies from Facebook on this browser? We use cookies to help personalize and improve content and services, serve relevant ads and provide a safer experience.",,,,,
match_453.csv,You can review your cookie controls at any time.,,,,,
match_453.csv,Learn more about cookie uses and controls in our Cookie Policy.Manage Data SettingsAccept All,,,,,
